"ADMIN1NAME","ADMIN2NAME","POP","YEAR"
"DIR? DAWA","DIR? DAWA",300252,2002
"DIR? DAWA","DIR? DAWA TOWN",17635,2002
"GAMB?LA HIZBOCH","AGNEWAK",85566,2002
"GAMB?LA HIZBOCH","MEZHENGER",86600,2002
"GAMB?LA HIZBOCH","NUWER",94590,2002
"HARERI HIZB","HARERI HIZB",169694,2002
"OROMIYA","ADAMA SPECIAL ZONE",201599,2002
"OROMIYA","ARSI",2433965,2002
"OROMIYA","BALE",1196273,2002
"OROMIYA","BORENA",841064,2002
"OROMIYA","BURAYU SPECIAL ZONE",56127,2002
"OROMIYA","EAST HARARGE",2470618,2002
"OROMIYA","EAST SHEWA",1246151,2002
"OROMIYA","EAST WELLEGA",1107834,2002
"OROMIYA","GUJI",1172458,2002
"OROMIYA","HORO GUDRU WELEGA",530463,2002
"OROMIYA","ILU ABA BORA",1138354,2002
"OROMIYA","JIMA SPECIAL ZONE",113448,2002
"OROMIYA","JIMMA",2302237,2002
"OROMIYA","KELEM WELEGA",719479,2002
"OROMIYA","NORTH SHEWA",1385443,2002
"OROMIYA","SOUTH WEST SHEWA",1024208,2002
"OROMIYA","WEST ARSI",1734346,2002
"OROMIYA","WEST HARARGE",1694452,2002
"OROMIYA","WEST SHEWA",1901785,2002
"OROMIYA","WEST WELLEGA",1242486,2002
"SUMAL?","AFDER",479577,2002
"SUMAL?","DEGEHABUR",408664,2002
"SUMAL?","FIK",311992,2002
"SUMAL?","GODE",392457,2002
"SUMAL?","JIJIGA",894291,2002
"SUMAL?","KORAHE",296249,2002
"SUMAL?","LIBEN",517544,2002
"SUMAL?","SHINILE",416559,2002
"SUMAL?","WARDER",318696,2002
"TIGRAY","CENTRAL TIGRAY",1179478,2002
"TIGRAY","EASTERN TIGRAY",729465,2002
"TIGRAY","MEKELE SPECIAL",166705,2002
"TIGRAY","NORTH WESTERN TIGRAY",690003,2002
"TIGRAY","SOUTHERN TIGRAY",969853,2002
"TIGRAY","WESTERN TIGRAY",305396,2002
"YEDEBUB BIH?ROCH BIH?RESEBOCH NA HIZBOCH","BENCH MAJI",526878,2002
"YEDEBUB BIH?ROCH BIH?RESEBOCH NA HIZBOCH","DAWURO",539030,2002
"YEDEBUB BIH?ROCH BIH?RESEBOCH NA HIZBOCH","GAMO GOFA",1441588,2002
"YEDEBUB BIH?ROCH BIH?RESEBOCH NA HIZBOCH","GEDEO",761783,2002
"YEDEBUB BIH?ROCH BIH?RESEBOCH NA HIZBOCH","GURAGE",1288701,2002
"YEDEBUB BIH?ROCH BIH?RESEBOCH NA HIZBOCH","HADIYA",1169609,2002
"YEDEBUB BIH?ROCH BIH?RESEBOCH NA HIZBOCH","HAWASSA CITY ADMINISTRATION-ZONE",217596,2002
"YEDEBUB BIH?ROCH BIH?RESEBOCH NA HIZBOCH","KEFFA",787782,2002
"YEDEBUB BIH?ROCH BIH?RESEBOCH NA HIZBOCH","KEMBATA TIMBARO",655306,2002
"YEDEBUB BIH?ROCH BIH?RESEBOCH NA HIZBOCH","SHEKA",178658,2002
"YEDEBUB BIH?ROCH BIH?RESEBOCH NA HIZBOCH","SIDAMA",2621059,2002
"YEDEBUB BIH?ROCH BIH?RESEBOCH NA HIZBOCH","SILTI",910358,2002
"YEDEBUB BIH?ROCH BIH?RESEBOCH NA HIZBOCH","SOUTH OMO",486149,2002
"YEDEBUB BIH?ROCH BIH?RESEBOCH NA HIZBOCH","WOLAYITA",1431354,2002
"YEDEBUB BIH?ROCH BIH?RESEBOCH NA HIZBOCH","YEM SPECIAL WEREDA",564329,2002
"YEDEBUB BIH?ROCH BIH?RESEBOCH NA HIZBOCH","YEM SPECIAL ZONE",66159,2002
"ADIS ABEBA","ADDIS KETEMA",266271,2003
"ADIS ABEBA","AKAKI KALITI",159570,2003
"ADIS ABEBA","ARADA",241214,2003
"ADIS ABEBA","BOLE",262169,2003
"ADIS ABEBA","GULELE",279773,2003
"ADIS ABEBA","KIRKOS",230474,2003
"ADIS ABEBA","KOLFE KERANIYO",356041,2003
"ADIS ABEBA","LIDETA",210449,2003
"ADIS ABEBA","NEFAS SILK-LAFTO",336403,2003
"ADIS ABEBA","YEKA",299766,2003
"AFAR","ZONE 1",395114,2003
"AFAR","ZONE 2",297597,2003
"AFAR","ZONE 3",182175,2003
"AFAR","ZONE 4",203113,2003
"AFAR","ZONE 5",218435,2003
"AMARA","ARGOBA SPECIAL ZONE",34753,2003
"AMARA","AWI-ZONE",956847,2003
"AMARA","BAHIR DAR SPECIAL ZONE",181132,2003
"AMARA","EAST GOJJAM",2100703,2003
"AMARA","NORTH GONDAR",2767851,2003
"AMARA","NORTH SHEWA",1851011,2003
"AMARA","NORTH WELLO",1488679,2003
"AMARA","OROMIYA",469040,2003
"AMARA","SOUTH GONDAR",2055476,2003
"AMARA","SOUTH WELLO",2526069,2003
"AMARA","WAGHEMIRA",404343,2003
"AMARA","WEST GOJJAM",2108071,2003
"BINSHANGUL GUMUZ","ASOSSA",278690,2003
"BINSHANGUL GUMUZ","KEMASHI",166634,2003
"BINSHANGUL GUMUZ","METEKEL",246830,2003
"DIR? DAWA","DIR? DAWA",307193,2003
"DIR? DAWA","DIR? DAWA TOWN",19611,2003
"GAMB?LA HIZBOCH","AGNEWAK",89245,2003
"GAMB?LA HIZBOCH","MEZHENGER",89443,2003
"GAMB?LA HIZBOCH","NUWER",99446,2003
"HARERI HIZB","HARERI HIZB",174774,2003
"OROMIYA","ADAMA SPECIAL ZONE",208086,2003
"OROMIYA","ARSI",2508101,2003
"OROMIYA","BALE",1251830,2003
"OROMIYA","BORENA",875855,2003
"OROMIYA","BURAYU SPECIAL ZONE",58420,2003
"OROMIYA","EAST HARARGE",2552913,2003
"OROMIYA","EAST SHEWA",1285213,2003
"OROMIYA","EAST WELLEGA",1144149,2003
"OROMIYA","GUJI",1230283,2003
"OROMIYA","HORO GUDRU WELEGA",545677,2003
"OROMIYA","ILU ABA BORA",1179275,2003
"OROMIYA","JIMA SPECIAL ZONE",116520,2003
"OROMIYA","JIMMA",2358074,2003
"OROMIYA","KELEM WELEGA",744741,2003
"OROMIYA","NORTH SHEWA",1413756,2003
"OROMIYA","SOUTH WEST SHEWA",1053542,2003
"OROMIYA","WEST ARSI",1803101,2003
"OROMIYA","WEST HARARGE",1752582,2003
"OROMIYA","WEST SHEWA",1959064,2003
"OROMIYA","WEST WELLEGA",1277276,2003
"SUMAL?","AFDER",502832,2003
"SUMAL?","DEGEHABUR",427510,2003
"SUMAL?","FIK",323054,2003
"SUMAL?","GODE",409002,2003
"SUMAL?","JIJIGA",920589,2003
"SUMAL?","KORAHE",303400,2003
"SUMAL?","LIBEN",528850,2003
"SUMAL?","SHINILE",429885,2003
"SUMAL?","WARDER",320207,2003
"TIGRAY","CENTRAL TIGRAY",1209089,2003
"TIGRAY","EASTERN TIGRAY",744694,2003
"TIGRAY","MEKELE SPECIAL",178143,2003
"TIGRAY","NORTH WESTERN TIGRAY",708910,2003
"TIGRAY","SOUTHERN TIGRAY",990568,2003
"TIGRAY","WESTERN TIGRAY",319342,2003
"YEDEBUB BIH?ROCH BIH?RESEBOCH NA HIZBOCH","BENCH MAJI",557606,2003
"YEDEBUB BIH?ROCH BIH?RESEBOCH NA HIZBOCH","DAWURO",565363,2003
"YEDEBUB BIH?ROCH BIH?RESEBOCH NA HIZBOCH","GAMO GOFA",1491388,2003
"YEDEBUB BIH?ROCH BIH?RESEBOCH NA HIZBOCH","GEDEO",789139,2003
"YEDEBUB BIH?ROCH BIH?RESEBOCH NA HIZBOCH","GURAGE",1304462,2003
"YEDEBUB BIH?ROCH BIH?RESEBOCH NA HIZBOCH","HADIYA",1198057,2003
"YEDEBUB BIH?ROCH BIH?RESEBOCH NA HIZBOCH","HAWASSA CITY ADMINISTRATION-ZONE",228522,2003
"YEDEBUB BIH?ROCH BIH?RESEBOCH NA HIZBOCH","KEFFA",815798,2003
"YEDEBUB BIH?ROCH BIH?RESEBOCH NA HIZBOCH","KEMBATA TIMBARO",669483,2003
"YEDEBUB BIH?ROCH BIH?RESEBOCH NA HIZBOCH","SHEKA",185167,2003
"YEDEBUB BIH?ROCH BIH?RESEBOCH NA HIZBOCH","SIDAMA",2722191,2003
"YEDEBUB BIH?ROCH BIH?RESEBOCH NA HIZBOCH","SILTI",937147,2003
"YEDEBUB BIH?ROCH BIH?RESEBOCH NA HIZBOCH","SOUTH OMO",509687,2003
"YEDEBUB BIH?ROCH BIH?RESEBOCH NA HIZBOCH","WOLAYITA",1465140,2003
"YEDEBUB BIH?ROCH BIH?RESEBOCH NA HIZBOCH","YEM SPECIAL WEREDA",591048,2003
"YEDEBUB BIH?ROCH BIH?RESEBOCH NA HIZBOCH","YEM SPECIAL ZONE",66077,2003
"ADIS ABEBA","ADDIS KETEMA",267902,2004
"ADIS ABEBA","AKAKI KALITI",167658,2004
"ADIS ABEBA","ARADA",237193,2004
"ADIS ABEBA","BOLE",278054,2004
"ADIS ABEBA","GULELE",281300,2004
"ADIS ABEBA","KIRKOS",231943,2004
"ADIS ABEBA","KOLFE KERANIYO",379729,2004
"ADIS ABEBA","LIDETA",211709,2004
"ADIS ABEBA","NEFAS SILK-LAFTO",336748,2004
"ADIS ABEBA","YEKA",316393,2004
"AFAR","ZONE 1",404093,2004
"AFAR","ZONE 2",316544,2004
"AFAR","ZONE 3",189234,2004
"AFAR","ZONE 4",216858,2004
"AFAR","ZONE 5",212505,2004
"AMARA","ARGOBA SPECIAL ZONE",35404,2004
"AMARA","AWI-ZONE",979719,2004
"AMARA","BAHIR DAR SPECIAL ZONE",194040,2004
"AMARA","EAST GOJJAM",2149935,2004
"AMARA","NORTH GONDAR",2854734,2004
"AMARA","NORTH SHEWA",1878665,2004
"AMARA","NORTH WELLO",1516731,2004
"AMARA","OROMIYA",473876,2004
"AMARA","SOUTH GONDAR",2089062,2004
"AMARA","SOUTH WELLO",2566343,2004
"AMARA","WAGHEMIRA",416758,2004
"AMARA","WEST GOJJAM",2141647,2004
"BINSHANGUL GUMUZ","ASOSSA",291316,2004
"BINSHANGUL GUMUZ","KEMASHI",176508,2004
"BINSHANGUL GUMUZ","METEKEL",258329,2004
"DIR? DAWA","DIR? DAWA",314169,2004
"DIR? DAWA","DIR? DAWA TOWN",21796,2004
"GAMB?LA HIZBOCH","AGNEWAK",93083,2004
"GAMB?LA HIZBOCH","MEZHENGER",92361,2004
"GAMB?LA HIZBOCH","NUWER",104548,2004
"HARERI HIZB","HARERI HIZB",179946,2004
"OROMIYA","ADAMA SPECIAL ZONE",214701,2004
"OROMIYA","ARSI",2583619,2004
"OROMIYA","BALE",1309918,2004
"OROMIYA","BORENA",912035,2004
"OROMIYA","BURAYU SPECIAL ZONE",60785,2004
"OROMIYA","EAST HARARGE",2637957,2004
"OROMIYA","EAST SHEWA",1325035,2004
"OROMIYA","EAST WELLEGA",1181230,2004
"OROMIYA","GUJI",1290570,2004
"OROMIYA","HORO GUDRU WELEGA",561104,2004
"OROMIYA","ILU ABA BORA",1221745,2004
"OROMIYA","JIMA SPECIAL ZONE",119633,2004
"OROMIYA","JIMMA",2414676,2004
"OROMIYA","KELEM WELEGA",770692,2004
"OROMIYA","NORTH SHEWA",1442187,2004
"OROMIYA","SOUTH WEST SHEWA",1083424,2004
"OROMIYA","WEST ARSI",1873986,2004
"OROMIYA","WEST HARARGE",1812230,2004
"OROMIYA","WEST SHEWA",2017480,2004
"OROMIYA","WEST WELLEGA",1314341,2004
"SUMAL?","AFDER",527487,2004
"SUMAL?","DEGEHABUR",447206,2004
"SUMAL?","FIK",334588,2004
"SUMAL?","GODE",427544,2004
"SUMAL?","JIJIGA",947672,2004
"SUMAL?","KORAHE",310742,2004
"SUMAL?","LIBEN",540381,2004
"SUMAL?","SHINILE",443718,2004
"SUMAL?","WARDER",321762,2004
"TIGRAY","CENTRAL TIGRAY",1239010,2004
"TIGRAY","EASTERN TIGRAY",760014,2004
"TIGRAY","MEKELE SPECIAL",190293,2004
"TIGRAY","NORTH WESTERN TIGRAY",728067,2004
"TIGRAY","SOUTHERN TIGRAY",1011413,2004
"TIGRAY","WESTERN TIGRAY",333906,2004
"YEDEBUB BIH?ROCH BIH?RESEBOCH NA HIZBOCH","BENCH MAJI",590064,2004
"YEDEBUB BIH?ROCH BIH?RESEBOCH NA HIZBOCH","DAWURO",592775,2004
"YEDEBUB BIH?ROCH BIH?RESEBOCH NA HIZBOCH","GAMO GOFA",1542392,2004
"YEDEBUB BIH?ROCH BIH?RESEBOCH NA HIZBOCH","GEDEO",817207,2004
"YEDEBUB BIH?ROCH BIH?RESEBOCH NA HIZBOCH","GURAGE",1319993,2004
"YEDEBUB BIH?ROCH BIH?RESEBOCH NA HIZBOCH","HADIYA",1226792,2004
"YEDEBUB BIH?ROCH BIH?RESEBOCH NA HIZBOCH","HAWASSA CITY ADMINISTRATION-ZONE",239911,2004
"YEDEBUB BIH?ROCH BIH?RESEBOCH NA HIZBOCH","KEFFA",844505,2004
"YEDEBUB BIH?ROCH BIH?RESEBOCH NA HIZBOCH","KEMBATA TIMBARO",683731,2004
