"Year","Region","Zone","Category","Number.of.holders","Area.in.hectare","Production.in.quintal","Yqth"
"2013","Oromiya","West Shewa","Hops",79967,621.03,15266.22,24.58
"2014","Oromiya","West Shewa","Hops",86071,455.63,6808.49,14.94
"2015","Oromiya","West Shewa","Hops",114029,660.43,10616.16,16.07
"2016","Oromiya","West Shewa","Hops",115166,498.17,7787.25,15.63
"2007","Oromiya ","West Shewa","Hops",138120,1172.7,12653.49,10.79
"2005","Oromiya","West Wellega","Hops",53703,357,3592,10.05
"2006","Oromiya","West Wellega","Hops",40878,315.54,3407.84,10.8
"2008","Oromiya","West Wellega","Hops",37188,381.19,3998.66,10.49
"2011","Oromiya","West Wellega","Hops",21638,157.41,1766.16,11.22
"2012","Oromiya","West Wellega","Hops",31749,211.39,2371.81,11.22
"2013","Oromiya","West Wellega","Hops",30790,210.86,0,0
"2014","Oromiya","West Wellega","Hops",61436,462.02,0,0
"2015","Oromiya","West Wellega","Hops",34415,327.48,6098.08,18.62
"2016","Oromiya","West Wellega","Hops",34650,291.56,5328.44,0
"2007","Oromiya ","West Wellega","Hops",31933,296.53,3416.01,11.52
"2009","Oromiya ","West Wellega","Hops",39120,357.4,3749.16,10.49
"2005","Tigray","Western Tigray","Hops",11277,149,6034,40.44
"2006","Tigray","Western Tigray","Hops",13389,188.09,3968.72,21.1
"2007","Tigray","Western Tigray","Hops",13998,227.66,4377.9,19.23
"2008","Tigray","Western Tigray","Hops",16744,159.42,5153.93,32.33
"2009","Tigray","Western Tigray","Hops",14073,102.69,3319.92,32.33
"2012","Tigray","Western Tigray","Hops",7560,96.68,3344.04,34.59
"2013","Tigray","Western Tigray","Hops",8720,184.84,0,0
"2014","Tigray","Western Tigray","Hops",15940,147.31,11920.72,80.92
"2015","Tigray","Western Tigray","Hops",14351,152.03,11050.71,72.69
"2016","Tigray","Western Tigray","Hops",11747,103.15,7549.61,73.19
"2005","SNNP","Wolayita","Hops",7707,20,524,25.85
"2006","SNNP","Wolayita","Hops",4682,8.73,113.55,13.01
"2007","SNNP","Wolayita","Hops",8869,26.78,329.4,12.3
"2008","SNNP","Wolayita","Hops",5317,20.85,401.33,19.25
"2009","SNNP","Wolayita","Hops",11039,32.56,626.79,19.25
"2011","SNNP","Wolayita","Hops",12481,48.75,1154.82,23.69
"2012","SNNP","Wolayita","Hops",12659,28.06,664.75,23.69
"2013","SNNP","Wolayita","Hops",14187,27.42,0,0
"2014","SNNP","Wolayita","Hops",11201,57.32,0,0
"2015","SNNP","Wolayita","Hops",14347,0,0,0
"2005","SNNP","YEM","Hops",1462,6,294,45.36
"2006","SNNP","YEM","Hops",946,5.09,82.9,16.29
"2007","SNNP","YEM","Hops",882,5.53,71.64,12.95
"2008","SNNP","YEM","Hops",1656,10.86,359.12,33.07
"2011","SNNP","YEM","Hops",2599,13.34,542.67,40.68
"2012","SNNP","YEM","Hops",3415,12.49,508.23,40.69
"2013","SNNP","YEM","Hops",5328,19.6,637.93,32.55
"2014","SNNP","YEM","Hops",3855,14.65,527.2,35.99
"2015","SNNP","YEM","Hops",3477,9.54,379.36,39.77
"2016","SNNP","YEM","Hops",4475,28.03,1148.44,40.97
"2005","Afar","Zone  03","Hops",325,6,0,0
"2006","Afar","Zone  03","Hops",472,2.61,60.84,23.31
"2007","Afar","Zone  03","Hops",530,0,0,0
"2018","","","Oilseeds",4007897,846493.54,8550738.16,77.43
"2008","Gambella","Agnuwak","Oilseeds",1932,0,0,0
"2009","Gambella","Agnuwak","Oilseeds",363,10.18,0,0
"2011","Gambella","Agnuwak","Oilseeds",1049,0,0,0
"2013","Gambella","Agnuwak","Oilseeds",722,6.64,52.67,7.93
"2014","Gambella","Agnuwak","Oilseeds",406,0,42.71,0
"2015","Gambella","Agnuwak","Oilseeds",406,0,42.71,0
"2005","SNNP","Alaba","Oilseeds",1592,22,103,4.65
"2006","SNNP","Alaba","Oilseeds",3650,58.85,194.33,11.29
"2007","SNNP","Alaba","Oilseeds",2964,23.22,117.13,5.04
"2008","SNNP","Alaba","Oilseeds",2262,44.43,319.08,7.18
"2009","SNNP","Alaba","Oilseeds",4517,80.27,584.24,15.05
"2011","SNNP","Alaba","Oilseeds",1172,0,0,0
"2012","SNNP","Alaba","Oilseeds",4127,63.65,327.22,10.06
"2013","SNNP","Alaba","Oilseeds",2143,0,0,0
"2014","SNNP","Alaba","Oilseeds",2196,12.88,0,0
"2015","SNNP","Alaba","Oilseeds",1164,0,0,0
"2016","SNNP","Alaba","Oilseeds",799,19.65,78.62,4
"2006","SNNP","Amaro ","Oilseeds",443,39.48,90.11,3
"2007","SNNP","Amaro ","Oilseeds",378,3.58,0,0
"2008","Amhara","Argoba","Oilseeds",2271,157.71,2104.97,37.51
"2009","Amhara","Argoba","Oilseeds",3184,224.98,2032.72,24.35
"2011","Amhara","Argoba ","Oilseeds",2937,409.31,5184.28,29.82
"2012","Amhara","Argoba ","Oilseeds",3939,639.44,6095.11,25.74
"2013","Amhara","Argoba ","Oilseeds",5136,1017.18,7218.35,35.93
"2014","Amhara","Argoba ","Oilseeds",5763,695.74,7315.13,43.07
"2015","Amhara","Argoba ","Oilseeds",4654,974.87,6803.75,29.45
"2016","Amhara","Argoba ","Oilseeds",4717,556.1,3017.96,20.53
"2005","Oromiya","Arsi","Oilseeds",218633,73786,562782,7.63
"2006","Oromiya","Arsi","Oilseeds",219609,71208.04,475418.61,35.72
"2008","Oromiya","Arsi","Oilseeds",151747,49860.14,453741.22,25.6
"2011","Oromiya","Arsi","Oilseeds",59135,12261.11,130353.59,10.3
"2012","Oromiya","Arsi","Oilseeds",102254,25041.57,327848.8,24.38
"2013","Oromiya","Arsi","Oilseeds",125792,22321.23,306909.17,25.34
"2014","Oromiya","Arsi","Oilseeds",83428,13715.18,191608.66,26.67
"2015","Oromiya","Arsi","Oilseeds",69620,14494.27,210397.17,35.65
"2016","Oromiya","Arsi","Oilseeds",82189,13826.86,205966.92,34.56
"2007","Oromiya ","Arsi","Oilseeds",165706,46900.28,264726.45,15.48
"2005","Benishangul Gumuz","Assosa","Oilseeds",72587,16006,68460,15.26
"2006","Benishangul Gumuz","Assosa","Oilseeds",69794,14083.9,57311.6,19
"2007","Benishangul Gumuz","Assosa","Oilseeds",73582,12078.6,54800.77,28.94
"2008","Benishangul Gumuz","Assosa","Oilseeds",66900,11871.4,62237.82,27.68
"2011","Benishangul Gumuz","Assosa","Oilseeds",54137,8718.4,29298.64,17.03
"2012","Benishangul Gumuz","Assosa","Oilseeds",63018,10455.86,54524.51,20.78
"2013","Benishangul Gumuz","Assosa","Oilseeds",62538,8254.66,45491.69,25.42
"2014","Benishangul Gumuz","Assosa","Oilseeds",64396,8361.26,54975.18,24.4
"2015","Benishangul Gumuz","Assosa","Oilseeds",60505,9245.14,70886.26,32.15
"2016","Benishangul Gumuz","Assosa","Oilseeds",57706,10720.39,45675.91,25.6
"2005","Amhara","Awi","Oilseeds",92542,26289,74032,11.14
"2006","Amhara","Awi","Oilseeds",97707,29292.75,130715.04,34.39
"2007","Amhara","Awi","Oilseeds",92189,25083.14,112760.44,18.54
"2008","Amhara","Awi","Oilseeds",105368,32795.86,216252.06,30.66
"2009","Amhara","Awi","Oilseeds",90903,19370.83,117260.97,23.4
"2011","Amhara","Awi","Oilseeds",74457,17495.98,73386.79,18.57
"2012","Amhara","Awi","Oilseeds",110054,18608.05,155325.05,33.95
"2013","Amhara","Awi","Oilseeds",136710,21784.32,169995.02,34.19
"2014","Amhara","Awi","Oilseeds",149855,22066.93,154197.36,20.72
"2015","Amhara","Awi","Oilseeds",72043,18167.27,124379.87,29.1
"2016","Amhara","Awi","Oilseeds",116295,24397.2,169686.11,28.91
"2005","Oromiya","Bale","Oilseeds",139332,74238,495690,9.76
"2006","Oromiya","Bale","Oilseeds",90768,46836.28,314624.78,13.07
"2007","Oromiya","Bale","Oilseeds",64036,30152.27,258381.66,8.57
"2008","Oromiya","Bale","Oilseeds",57597,13295.41,149412.4,11.24
"2011","Oromiya","Bale","Oilseeds",54046,29267.76,270107.24,20.24
"2012","Oromiya","Bale","Oilseeds",64273,35775.31,217989.58,12.48
"2013","Oromiya","Bale","Oilseeds",45371,22923.94,250093.62,17.81
"2014","Oromiya","Bale","Oilseeds",68055,35282.92,145924.37,10.26
"2015","Oromiya","Bale","Oilseeds",67839,33246.56,313980.97,20.03
"2016","Oromiya","Bale","Oilseeds",56295,28877.75,211681.32,11.6
"2005","SNNP","Basketo","Oilseeds",1272,14,0,0
"2006","SNNP","Basketo","Oilseeds",778,16.89,80.2,14.56
"2007","SNNP","Basketo","Oilseeds",1825,27.38,116.09,10.77
"2008","SNNP","Basketo","Oilseeds",378,6.2,0,0
"2009","SNNP","Basketo","Oilseeds",1459,7.64,23.71,3.1
"2011","SNNP","Basketo","Oilseeds",585,2.78,0,0
"2012","SNNP","Basketo","Oilseeds",1028,0,26.59,0
"2013","SNNP","Basketo","Oilseeds",841,10.47,27.59,2.64
"2014","SNNP","Basketo","Oilseeds",292,0,0,0
"2016","SNNP","Basketo","Oilseeds",416,7.15,13.55,1.9
"2005","SNNP","Bench Maji","Oilseeds",938,0,0,0
"2006","SNNP","Bench Maji","Oilseeds",1603,66.85,116.21,9.29
"2007","SNNP","Bench Maji","Oilseeds",4142,188.79,38.77,2.16
"2006","Oromiya","Borena","Oilseeds",2254,135.05,65.33,1.79
"2008","Oromiya","Borena","Oilseeds",2415,0,0,0
"2015","Oromiya","Borena","Oilseeds",6426,120.7,0,10.4
"2005","SNNP","Burji","Oilseeds",199,5,3,0.56
"2006","SNNP","Burji","Oilseeds",349,9.96,10.35,1.71
"2007","SNNP","Burji","Oilseeds",105,0,0,0
"2009","SNNP","Burji","Oilseeds",237,3.93,0,0
"2012","SNNP","Burji","Oilseeds",312,5.64,18.24,3.23
"2005","Tigray","Central Tigray","Oilseeds",55042,4929,28594,17.16
"2006","Tigray","Central Tigray","Oilseeds",33141,2930.14,18506.41,26.12
"2007","Tigray","Central Tigray","Oilseeds",77792,5528.01,34605.95,19.51
"2008","Tigray","Central Tigray","Oilseeds",62613,5311.85,51503.82,17.83
"2009","Tigray","Central Tigray","Oilseeds",67249,4747.08,65289.23,22.21
"2011","Tigray","Central Tigray","Oilseeds",28547,2208.37,0,0
"2012","Tigray","Central Tigray","Oilseeds",32843,2848.96,18986.15,9.21
"2013","Tigray","Central Tigray","Oilseeds",46329,3614.03,34067.39,14.9
"2014","Tigray","Central Tigray","Oilseeds",44942,2697.19,25558.44,15.1
"2015","Tigray","Central Tigray","Oilseeds",35683,1009.83,12283.99,12.16
"2016","Tigray","Central Tigray","Oilseeds",36233,2593.03,20746,10.77
"2005","SNNP","Dawuro","Oilseeds",7185,149,662,4.44
"2006","SNNP","Dawuro","Oilseeds",6797,139.64,606.09,14.16
"2007","SNNP","Dawuro","Oilseeds",7796,183.83,1268.8,16.85
"2008","SNNP","Dawuro","Oilseeds",8909,114.46,1163.09,10.16
"2009","SNNP","Dawuro","Oilseeds",6196,103.65,706.36,6.81
"2011","SNNP","Dawuro","Oilseeds",5894,73.36,486.46,6.63
"2012","SNNP","Dawuro","Oilseeds",4225,71.44,444.03,6.22
"2013","SNNP","Dawuro","Oilseeds",6364,93.82,659.81,7.03
"2014","SNNP","Dawuro","Oilseeds",3887,57.83,311.08,5.38
"2015","SNNP","Dawuro","Oilseeds",3063,50.03,244.33,4.88
"2016","SNNP","Dawuro","Oilseeds",2866,37.99,0,0
"2006","SNNP","Derashe ","Oilseeds",353,11.91,139.63,18.95
"2005","Amhara","East Gojjam","Oilseeds",187579,28043,146050,17.24
"2006","Amhara","East Gojjam","Oilseeds",185598,31529.55,160821.73,36.45
"2007","Amhara","East Gojjam","Oilseeds",182422,22432.07,116002.34,19.8
"2008","Amhara","East Gojjam","Oilseeds",162258,25983.82,171670.81,29.56
"2009","Amhara","East Gojjam","Oilseeds",178551,25776.45,255809.53,29.64
"2011","Amhara","East Gojjam","Oilseeds",133151,14797.67,70468.98,10.11
"2012","Amhara","East Gojjam","Oilseeds",230178,20731.2,147163.8,21.19
"2013","Amhara","East Gojjam","Oilseeds",220721,20990.98,188237.41,24.64
"2014","Amhara","East Gojjam","Oilseeds",264495,21584.61,206967.49,25.44
"2015","Amhara","East Gojjam","Oilseeds",153256,20005.83,193732.9,22.71
"2016","Amhara","East Gojjam","Oilseeds",137877,13772.16,117799.32,12.21
"2005","Oromiya","East Hararge","Oilseeds",86551,11273,142989,21.17
"2006","Oromiya","East Hararge","Oilseeds",133470,22702.99,159558.06,17.34
"2007","Oromiya","East Hararge","Oilseeds",172114,24498.72,318253.87,21.1
"2008","Oromiya","East Hararge","Oilseeds",127437,20621.69,10384.56,8.82
"2011","Oromiya","East Hararge","Oilseeds",162219,24661.74,249390.99,18.39
"2012","Oromiya","East Hararge","Oilseeds",152693,22830.62,299140.38,22.04
"2013","Oromiya","East Hararge","Oilseeds",194783,30027.6,364737.19,30.25
"2014","Oromiya","East Hararge","Oilseeds",212829,31786.2,361174.72,20.86
"2015","Oromiya","East Hararge","Oilseeds",173934,24690.44,321972.18,23.49
"2016","Oromiya","East Hararge","Oilseeds",114282,17604.13,211476.34,20.56
"2005","Oromiya","East Shewa","Oilseeds",47106,2529,15331,15.36
"2006","Oromiya","East Shewa","Oilseeds",35899,1816.43,7187.61,11.77
"2008","Oromiya","East Shewa","Oilseeds",11922,0,902.21,0
"2011","Oromiya","East Shewa","Oilseeds",1972,0,0,0
"2012","Oromiya","East Shewa","Oilseeds",14048,387.38,0,0
"2013","Oromiya","East Shewa","Oilseeds",14248,224.57,1168.35,5.2
"2014","Oromiya","East Shewa","Oilseeds",18390,0,0,0
"2015","Oromiya","East Shewa","Oilseeds",6426,120.7,0,10.4
"2016","Oromiya","East Shewa","Oilseeds",1848,0,0,0
"2007","Oromiya ","East Shewa","Oilseeds",14898,425.62,590.21,3.76
"2005","Oromiya","East Wellega","Oilseeds",273326,98466,721484,32.24
"2006","Oromiya","East Wellega","Oilseeds",242376,99431.14,531293.76,36.26
"2008","Oromiya","East Wellega","Oilseeds",150061,42284.35,245167.99,30.69
"2011","Oromiya","East Wellega","Oilseeds",157380,52427.8,356851.87,27.63
"2012","Oromiya","East Wellega","Oilseeds",202282,60766.52,318081.5,23.99
"2013","Oromiya","East Wellega","Oilseeds",191586,63761.2,460672.38,43.62
"2014","Oromiya","East Wellega","Oilseeds",202810,60312.94,439199.41,40.11
"2015","Oromiya","East Wellega","Oilseeds",153333,60016.36,514787.13,26.23
"2016","Oromiya","East Wellega","Oilseeds",204751,67909.87,615045.25,58.37
"2007","Oromiya ","East Wellega","Oilseeds",147730,51453.7,243973.81,13.69
"2009","Oromiya ","East Wellega","Oilseeds",156329,48201.04,274505.01,23.93
"2005","Tigray","Eastern Tigray","Oilseeds",16134,1272,3966,3.12
"2006","Tigray","Eastern Tigray","Oilseeds",20642,1892.96,8381.39,7.81
"2007","Tigray","Eastern Tigray","Oilseeds",20486,1643.62,0,0
"2008","Tigray","Eastern Tigray","Oilseeds",22652,2767.12,27722.92,10.02
"2009","Tigray","Eastern Tigray","Oilseeds",29567,2884.04,39026.25,13.53
"2011","Tigray","Eastern Tigray","Oilseeds",16270,1224.84,18043.92,14.73
"2012","Tigray","Eastern Tigray","Oilseeds",32843,2848.96,18986.15,9.21
"2013","Tigray","Eastern Tigray","Oilseeds",14015,722.91,6028.45,8.34
"2014","Tigray","Eastern Tigray","Oilseeds",12026,306.64,3716.15,12.12
"2015","Tigray","Eastern Tigray","Oilseeds",7243,342.21,3117.65,9.11
"2016","Tigray","Eastern Tigray","Oilseeds",9000,456.12,3221.29,7.06
"2008","Gambella","Etang Spe.","Oilseeds",150,0.26,0,0
"2005","SNNP","Gamo Gofa","Oilseeds",14292,76,46,0.6
"2006","SNNP","Gamo Gofa","Oilseeds",9282,220.9,566.58,10.12
"2007","SNNP","Gamo Gofa","Oilseeds",13776,365.9,1126.21,11.15
"2008","SNNP","Gamo Gofa","Oilseeds",6268,90.51,759.46,8.39
"2011","SNNP","Gamo Gofa","Oilseeds",12227,123.63,671.66,5.43
"2012","SNNP","Gamo Gofa","Oilseeds",23829,0,0,0
"2013","SNNP","Gamo Gofa","Oilseeds",17068,141.28,895.11,6.34
"2014","SNNP","Gamo Gofa","Oilseeds",15950,215.39,854.5,3.97
"2015","SNNP","Gamo Gofa","Oilseeds",8062,20.58,121.12,5.89
"2016","SNNP","Gamo Gofa","Oilseeds",9006,77.49,464.8,6
"2006","SNNP","Gedeo","Oilseeds",1626,21.35,21.32,3.84
"2007","SNNP","Gedeo","Oilseeds",1186,0,0,0
"2011","SNNP","Gedeo","Oilseeds",1971,0,0,0
"2012","SNNP","Gedeo","Oilseeds",1133,4.18,20.9,5
"2013","SNNP","Gedeo","Oilseeds",1730,0,0,0
"2005","Oromiya","Guji","Oilseeds",1935,0,0,0
"2006","Oromiya","Guji","Oilseeds",1654,34.8,73.44,7.33
"2007","Oromiya","Guji","Oilseeds",6459,0,0,0
"2013","Oromiya","Guji","Oilseeds",1092,0,170.18,0
"2009","Oromiya ","Guji","Oilseeds",3537,0,0,0
"2005","SNNP","Gurage","Oilseeds",8696,0,0,0
"2006","SNNP","Gurage","Oilseeds",20655,2791.52,11085.08,7.62
"2007","SNNP","Gurage","Oilseeds",18055,0,0,0
"2008","SNNP","Gurage","Oilseeds",10426,84.01,0,0
"2012","SNNP","Gurage","Oilseeds",3264,0,0,0
"2016","SNNP","Gurage","Oilseeds",4710,0,0,0
"2005","SNNP","Hadiya","Oilseeds",30779,385,10374,0.3
"2006","SNNP","Hadiya","Oilseeds",25871,1928.73,12905.95,17.52
"2007","SNNP","Hadiya","Oilseeds",22433,754.82,4186.57,11
"2008","SNNP","Hadiya","Oilseeds",10133,0,0,0
"2011","SNNP","Hadiya","Oilseeds",4835,126.24,0,0
"2012","SNNP","Hadiya","Oilseeds",20164,0,0,0
"2013","SNNP","Hadiya","Oilseeds",25264,227.38,1687.61,7.42
"2014","SNNP","Hadiya","Oilseeds",15174,260.23,2345.91,17.28
"2015","SNNP","Hadiya","Oilseeds",4434,0,0,0
"2006","Harari","Harer","Oilseeds",10558,2337.94,16150.16,12.57
"2012","Harari","Harer","Oilseeds",9250,1704.58,22586.42,13.25
"2008","Oromiya","Horo Gudru Wellega","Oilseeds",106035,46068.71,279464.37,14.89
"2011","Oromiya","Horo Gudru Wellega","Oilseeds",108814,52956.24,279087.92,23.84
"2012","Oromiya","Horo Gudru Wellega","Oilseeds",145205,68241.58,454076.83,38.34
"2013","Oromiya","Horo Gudru Wellega","Oilseeds",156250,63183.66,454424.24,59.47
"2014","Oromiya","Horo Gudru Wellega","Oilseeds",141626,55953.31,416445.06,29.65
"2015","Oromiya","Horo Gudru Wellega","Oilseeds",89927,54206.59,592892.04,32.01
"2016","Oromiya","Horo Gudru Wellega","Oilseeds",136790,67511.13,750290.71,42.38
"2007","Oromiya ","Horo Gudru Wellega","Oilseeds",100245,42520.01,249071.24,38.56
"2009","Oromiya ","Horo Gudru Wellega","Oilseeds",121712,53936.1,294927.41,27.2
"2005","Oromiya","Ilu Aba Bora","Oilseeds",71805,7711,36530,9.59
"2006","Oromiya","Ilu Aba Bora","Oilseeds",84498,17577.67,112384.84,34.69
"2008","Oromiya","Ilu Aba Bora","Oilseeds",83591,13585.69,85797.63,31.46
"2011","Oromiya","Ilu Aba Bora","Oilseeds",68970,16096.77,38778.6,7.68
"2012","Oromiya","Ilu Aba Bora","Oilseeds",85633,8924.39,49370.74,27.17
"2013","Oromiya","Ilu Aba Bora","Oilseeds",57766,7629,51303.61,28.4
"2014","Oromiya","Ilu Aba Bora","Oilseeds",101420,8890.8,69303.31,23.5
"2015","Oromiya","Ilu Aba Bora","Oilseeds",40502,5244.94,60897.85,11.61
"2016","Oromiya","Ilu Aba Bora","Oilseeds",79878,8647.1,115187.6,28.48
"2007","Oromiya ","Ilu Aba Bora","Oilseeds",91784,15457.94,132427.1,47.71
"2009","Oromiya ","Ilu Aba Bora","Oilseeds",90490,12917.61,78313.91,26.81
"2005","Somali","Jijiga","Oilseeds",4386,265,392,1.48
"2006","Somali","Jijiga","Oilseeds",3567,195.02,186.18,0.95
"2007","Somali","Jijiga","Oilseeds",2313,67.43,28.58,0.42
"2005","Oromiya","Jimma","Oilseeds",155852,20858,101795,12.29
"2006","Oromiya","Jimma","Oilseeds",146572,23410.67,147068.28,37.82
"2008","Oromiya","Jimma","Oilseeds",103808,10818.19,53563.27,13.41
"2011","Oromiya","Jimma","Oilseeds",115958,18403.24,61687.96,8.35
"2012","Oromiya","Jimma","Oilseeds",161520,20924.46,64557.33,7.37
"2013","Oromiya","Jimma","Oilseeds",197476,21756.56,107110.04,10.6
"2014","Oromiya","Jimma","Oilseeds",178529,18201.13,29036.08,6.26
"2015","Oromiya","Jimma","Oilseeds",111697,15187.19,119855.26,31.53
"2016","Oromiya","Jimma","Oilseeds",144436,19966.51,142278.85,14.32
"2007","Oromiya ","Jimma","Oilseeds",167653,20312.11,133643.98,36.04
"2005","Benishangul Gumuz","Kamashi","Oilseeds",20399,10028,47359,13.89
"2006","Benishangul Gumuz","Kamashi","Oilseeds",20512,8723.74,44887.74,27.9
"2007","Benishangul Gumuz","Kamashi","Oilseeds",24701,8165.94,48378.77,17.61
"2008","Benishangul Gumuz","Kamashi","Oilseeds",21566,6645.12,39047.66,11.32
"2011","Benishangul Gumuz","Kamashi","Oilseeds",20242,10192.29,67612.15,12.67
"2012","Benishangul Gumuz","Kamashi","Oilseeds",27369,8643.07,52236.75,5.77
"2013","Benishangul Gumuz","Kamashi","Oilseeds",17064,6857.77,37409.72,9.85
"2014","Benishangul Gumuz","Kamashi","Oilseeds",16983,8124.52,59376.46,7.51
"2015","Benishangul Gumuz","Kamashi","Oilseeds",19142,10934.9,73186.3,29.62
"2016","Benishangul Gumuz","Kamashi","Oilseeds",15316,10465.23,74534.6,14.64
"2005","SNNP","Kefa","Oilseeds",7189,72,0,0
"2006","SNNP","Kefa","Oilseeds",9625,167.6,598.21,17.15
"2007","SNNP","Kefa","Oilseeds",18012,262.57,1496.38,5.7
"2008","SNNP","Kefa","Oilseeds",17322,209.5,2148.16,10.25
"2011","SNNP","Kefa","Oilseeds",6858,92.31,297.89,3.23
"2012","SNNP","Kefa","Oilseeds",8650,0,0,0
"2013","SNNP","Kefa","Oilseeds",12864,106.55,312.12,2.93
"2014","SNNP","Kefa","Oilseeds",7906,157.17,603.48,3.84
"2015","SNNP","Kefa","Oilseeds",9573,67.48,393.54,5.83
"2016","SNNP","Kefa","Oilseeds",9625,0,0,0
"2008","Oromiya","Kelem","Oilseeds",37371,3502.46,3590.62,9.91
"2007","Oromiya ","Kelem","Oilseeds",52308,8120.82,58584.45,41.29
"2009","Oromiya ","Kelem","Oilseeds",53226,880.5,19180.93,10.23
"2005","SNNP","Kembata Timbaro","Oilseeds",6562,0,0,0
"2006","SNNP","Kembata Timbaro","Oilseeds",3055,116.37,485.4,4.72
"2007","SNNP","Kembata Timbaro","Oilseeds",2155,0,0,0
"2008","SNNP","Kembata Timbaro","Oilseeds",4563,0,0,0
"2009","SNNP","Kembata Timbaro","Oilseeds",920,0,0,0
"2011","SNNP","Kembata Timbaro","Oilseeds",1344,0,0,0
"2012","SNNP","Kembata Timbaro","Oilseeds",1534,0,0,0
"2013","SNNP","Kembata Timbaro","Oilseeds",2003,102.59,0,0
"2014","SNNP","Kembata Timbaro","Oilseeds",1227,0,0,0
"2015","SNNP","Kembata Timbaro","Oilseeds",1497,0,0,0
"2008","SNNP","Konso","Oilseeds",1540,0,0,0
"2005","SNNP","Konso ","Oilseeds",2844,154,0,0
"2006","SNNP","Konso ","Oilseeds",445,4.73,10.79,5.11
"2012","SNNP","Konso ","Oilseeds",1835,0,0,0
"2005","SNNP","Konta","Oilseeds",281,0,0,0
"2006","SNNP","Konta","Oilseeds",534,15.36,35.73,20.6
"2007","SNNP","Konta","Oilseeds",1875,138.88,40.58,3.98
"2008","SNNP","Konta","Oilseeds",659,0,0,0
"2009","SNNP","Konta","Oilseeds",974,9.43,0,0
"2012","SNNP","Konta","Oilseeds",305,0,0,0
"2013","SNNP","Konta","Oilseeds",483,3.67,0,0
"2015","SNNP","Konta","Oilseeds",2799,0,0,0
"2006","Somali","Liben","Oilseeds",41,5.74,0,0
"2008","Benishangul Gumuz","Maokomo ","Oilseeds",9750,1154.89,6449.95,22.51
"2009","Benishangul Gumuz","Maokomo ","Oilseeds",206,4.83,62.24,12.89
"2011","Benishangul Gumuz","Maokomo ","Oilseeds",8768,876.81,5802.8,28.62
"2012","Benishangul Gumuz","Maokomo ","Oilseeds",12267,1235.06,5907.92,20.5
"2013","Benishangul Gumuz","Maokomo ","Oilseeds",15730,1402.06,7093.22,20.93
"2014","Benishangul Gumuz","Maokomo ","Oilseeds",15181,1327.71,9575.97,27.84
"2015","Benishangul Gumuz","Maokomo ","Oilseeds",13613,1778.92,12977.83,32.46
"2016","Benishangul Gumuz","Maokomo ","Oilseeds",11753,1618.82,12054.35,30.81
"2005","Benishangul Gumuz","Metekel","Oilseeds",46167,19211,137987,28.34
"2006","Benishangul Gumuz","Metekel","Oilseeds",48919,18290.78,163051.76,44.36
"2007","Benishangul Gumuz","Metekel","Oilseeds",46441,18160.7,223335.5,45.53
"2008","Benishangul Gumuz","Metekel","Oilseeds",39266,15943.17,126886.33,26.62
"2011","Benishangul Gumuz","Metekel","Oilseeds",66256,28121.36,271103.57,23.49
"2012","Benishangul Gumuz","Metekel","Oilseeds",89539,37388.87,428760.29,29.12
"2013","Benishangul Gumuz","Metekel","Oilseeds",89900,34787.99,472733.48,31.9
"2014","Benishangul Gumuz","Metekel","Oilseeds",76699,32279.38,409670.89,29.94
"2015","Benishangul Gumuz","Metekel","Oilseeds",79054,39736.3,428797.09,32.47
"2016","Benishangul Gumuz","Metekel","Oilseeds",75563,42145.08,472800.13,39.09
"2009","Gambella","Mezhenger","Oilseeds",223,0,0,0
"2005","Amhara","North Gondar","Oilseeds",276651,65723,421584,27.11
"2006","Amhara","North Gondar","Oilseeds",315373,77116.63,512219.14,35.01
"2007","Amhara","North Gondar","Oilseeds",318597,72630.34,573819.58,38.46
"2008","Amhara","North Gondar","Oilseeds",322356,70518.87,465313.72,29.77
"2009","Amhara","North Gondar","Oilseeds",282522,132527.32,834544.84,38.07
"2011","Amhara","North Gondar","Oilseeds",269312,19580.64,159704.83,30.39
"2012","Amhara","North Gondar","Oilseeds",452368,119972.73,828317.86,37.37
"2013","Amhara","North Gondar","Oilseeds",419124,112362.22,304698.67,35.74
"2014","Amhara","North Gondar","Oilseeds",394333,131267,200234.23,16.57
"2015","Amhara","North Gondar","Oilseeds",344700,153250.72,1095292,41.18
"2016","Amhara","North Gondar","Oilseeds",327213,164136.32,1339034.85,25.31
"2005","Amhara","North Shewa","Oilseeds",133066,12216,66658,29.39
"2006","Amhara","North Shewa","Oilseeds",148412,13216.76,73865.96,32.59
"2007","Amhara","North Shewa","Oilseeds",216309,14806.88,119648.54,31.85
"2008","Amhara","North Shewa","Oilseeds",158620,11116.23,81520.65,29.7
"2009","Amhara","North Shewa","Oilseeds",188120,11390.72,85478,35.68
"2011","Amhara","North Shewa","Oilseeds",144987,9377.39,95003.14,18.8
"2012","Amhara","North Shewa","Oilseeds",186953,16093.34,52139.89,36.64
"2013","Amhara","North Shewa","Oilseeds",221515,15645.74,119815.91,32.99
"2014","Amhara","North Shewa","Oilseeds",166189,9773.14,90320.08,38.13
"2015","Amhara","North Shewa","Oilseeds",93754,7461.81,60570.38,16.89
"2016","Amhara","North Shewa","Oilseeds",97714,5284.52,52416.41,16.71
"2005","Oromiya","North Shewa","Oilseeds",73930,14636,59084,18.2
